nickname,player_details,final_score,show_info,full_name,occupation,hometown,archive_info,date,city,state,answer_number,dt_indx,favorite_count,retweet_count,text,game_info_flg,year,month,value,games_played,gross_winnings,job,state_id
Peggy,"Peggy Robin, a publisher and chief moderator from Washington, D.C.",29998,"J! Archive - Show #8042, aired 2019-07-23",Peggy Robin,a publisher and chief moderator,"Washington, D.C.",J! Archive - Show #8042,2019-07-23,Washington,D.C.,answer2,2,5.0,0.0,"7/23/19:
""I like telling dad jokes.""
""I run an online forum to talk about the neighborhood.""
""My stuffed manatee is a comfort animal in my classroom.""
#Jeopardy https://t.co/OBTcBXWxzC",True,2019.0,7.0,"""I run an online forum to talk about the neighborhood.""",1,29998,publisher chief moderator,
John,"John Myers, a financial trader from Chicago, Illinois",18600,"J! Archive - Show #8042, aired 2019-07-23",John Myers,a financial trader,"Chicago, Illinois",J! Archive - Show #8042,2019-07-23,Chicago,Illinois,answer1,3,5.0,0.0,"7/23/19:
""I like telling dad jokes.""
""I run an online forum to talk about the neighborhood.""
""My stuffed manatee is a comfort animal in my classroom.""
#Jeopardy https://t.co/OBTcBXWxzC",True,2019.0,7.0,"""I like telling dad jokes.""",1,18600,financial trader,IL
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 1-day cash winnings total $26,600)",18600,"J! Archive - Show #8041, aired 2019-07-22",Jason Zuffranieri,a math teacher,"Albuquerque, New Mexico",J! Archive - Show #8041,2019-07-22,Albuquerque,New Mexico,answer3,1,6.0,0.0,"7/22/19:
""I explain forensic science to kids using the Goldilocks story.""
""I went to Spain &amp; ran into a lady who was my 3rd cousin.""
""I travel around the world playing Sudoku.""
#Jeopardy https://t.co/c08ArMbQBH",True,2019.0,7.0,"""I travel around the world playing Sudoku.""",6,115000,math teacher,NM
James,"James Pelayo, a tax professional from Torrance, California",10,"J! Archive - Show #8041, aired 2019-07-22",James Pelayo,a tax professional,"Torrance, California",J! Archive - Show #8041,2019-07-22,Torrance,California,answer2,2,6.0,0.0,"7/22/19:
""I explain forensic science to kids using the Goldilocks story.""
""I went to Spain &amp; ran into a lady who was my 3rd cousin.""
""I travel around the world playing Sudoku.""
#Jeopardy https://t.co/c08ArMbQBH",True,2019.0,7.0,"""I went to Spain &amp; ran into a lady who was my 3rd cousin.""",1,10,tax professional,CA
Cristina,"Cristina Somolinos, a forensic scientist from Bordentown, New Jersey",211,"J! Archive - Show #8041, aired 2019-07-22",Cristina Somolinos,a forensic scientist,"Bordentown, New Jersey",J! Archive - Show #8041,2019-07-22,Bordentown,New Jersey,answer1,3,6.0,0.0,"7/22/19:
""I explain forensic science to kids using the Goldilocks story.""
""I went to Spain &amp; ran into a lady who was my 3rd cousin.""
""I travel around the world playing Sudoku.""
#Jeopardy https://t.co/c08ArMbQBH",True,2019.0,7.0,"""I explain forensic science to kids using the Goldilocks story.""",1,211,forensic scientist,NJ
Nathan,"Nathan Kaplan, a math professor from Los Angeles, California (whose 1-day cash winnings total $19,600)",26600,"J! Archive - Show #8040, aired 2019-07-19",Nathan Kaplan,a math professor,"Los Angeles, California",J! Archive - Show #8040,2019-07-19,Los Angeles,California,answer3,1,5.0,0.0,"7/19/19:
""I deliberately struck out so we could force a win.""
""I'm a board member of a group that teaches about civic technology.""
""@MagicJohnson congratulated me on my giant chess trophy.""
#Jeopardy https://t.co/J1V2wEEwqa",True,2019.0,7.0,"""@MagicJohnson congratulated me on my giant chess trophy.""",2,46200,math professor,CA
Kathleen,"Kathleen O'Shea, a PR content manager from Chicago, Illinois",11800,"J! Archive - Show #8040, aired 2019-07-19",Kathleen O'Shea,a PR content manager,"Chicago, Illinois",J! Archive - Show #8040,2019-07-19,Chicago,Illinois,answer2,2,5.0,0.0,"7/19/19:
""I deliberately struck out so we could force a win.""
""I'm a board member of a group that teaches about civic technology.""
""@MagicJohnson congratulated me on my giant chess trophy.""
#Jeopardy https://t.co/J1V2wEEwqa",True,2019.0,7.0,"""I'm a board member of a group that teaches about civic technology.""",1,11800,pr content manager,IL
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico",22000,"J! Archive - Show #8040, aired 2019-07-19",Jason Zuffranieri,a math teacher,"Albuquerque, New Mexico",J! Archive - Show #8040,2019-07-19,Albuquerque,New Mexico,answer1,3,5.0,0.0,"7/19/19:
""I deliberately struck out so we could force a win.""
""I'm a board member of a group that teaches about civic technology.""
""@MagicJohnson congratulated me on my giant chess trophy.""
#Jeopardy https://t.co/J1V2wEEwqa",True,2019.0,7.0,"""I deliberately struck out so we could force a win.""",6,115000,math teacher,NM
Roey,"Roey Hadar, a journalist from Arlington, Virginia (whose 1-day cash winnings total $23,600)",19600,"J! Archive - Show #8039, aired 2019-07-18",Roey Hadar,a journalist,"Arlington, Virginia",J! Archive - Show #8039,2019-07-18,Arlington,Virginia,answer3,1,8.0,2.0,"7/18/19:
""I dyed my hair blue &amp; white for the @Mets to win.""
""I took a visit to Lapland in the winter.""
""My girlfriend &amp; I are lazy and watch The Office.""
#Jeopardy https://t.co/oadgI0gyZL",True,2019.0,7.0,"""My girlfriend &amp; I are lazy and watch The Office.""",2,43200,journalist,VA
Amy,"Amy King, a teacher from Seattle, Washington",9900,"J! Archive - Show #8039, aired 2019-07-18",Amy King,a teacher,"Seattle, Washington",J! Archive - Show #8039,2019-07-18,Seattle,Washington,answer2,2,8.0,2.0,"7/18/19:
""I dyed my hair blue &amp; white for the @Mets to win.""
""I took a visit to Lapland in the winter.""
""My girlfriend &amp; I are lazy and watch The Office.""
#Jeopardy https://t.co/oadgI0gyZL",True,2019.0,7.0,"""I took a visit to Lapland in the winter.""",1,9900,teacher,WA
Nathan,"Nathan Kaplan, a math professor from Los Angeles, California",19600,"J! Archive - Show #8039, aired 2019-07-18",Nathan Kaplan,a math professor,"Los Angeles, California",J! Archive - Show #8039,2019-07-18,Los Angeles,California,answer1,3,8.0,2.0,"7/18/19:
""I dyed my hair blue &amp; white for the @Mets to win.""
""I took a visit to Lapland in the winter.""
""My girlfriend &amp; I are lazy and watch The Office.""
#Jeopardy https://t.co/oadgI0gyZL",True,2019.0,7.0,"""I dyed my hair blue &amp; white for the @Mets to win.""",2,46200,math professor,CA
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 5-day cash winnings total $156,202)",0,"J! Archive - Show #8038, aired 2019-07-17",Sam Kavanaugh,a teacher,"Minneapolis, Minnesota",J! Archive - Show #8038,2019-07-17,Minneapolis,Minnesota,answer3,1,26.0,2.0,"7/17/19:
“My girlfriend calls me Grandpa.”
“I curse in front of my grandma because of @Jeopardy!”
“I like to go on a wilderness hike by myself.”
#Jeopardy https://t.co/owvX1RQI0x",True,2019.0,7.0,“I like to go on a wilderness hike by myself.”,6,154003,teacher,MN
Jennifer,"Jennifer Abel, a graduate student from Vancouver, British Columbia, Canada",12001,"J! Archive - Show #8038, aired 2019-07-17",Jennifer Abel,a graduate student,"Vancouver, British Columbia, Canada",J! Archive - Show #8038,2019-07-17,Vancouver,British Columbia,answer2,2,26.0,2.0,"7/17/19:
“My girlfriend calls me Grandpa.”
“I curse in front of my grandma because of @Jeopardy!”
“I like to go on a wilderness hike by myself.”
#Jeopardy https://t.co/owvX1RQI0x",True,2019.0,7.0,“I curse in front of my grandma because of @Jeopardy!”,1,12001,graduate student,
Roey,"Roey Hadar, a journalist from Arlington, Virginia",23600,"J! Archive - Show #8038, aired 2019-07-17",Roey Hadar,a journalist,"Arlington, Virginia",J! Archive - Show #8038,2019-07-17,Arlington,Virginia,answer1,3,26.0,2.0,"7/17/19:
“My girlfriend calls me Grandpa.”
“I curse in front of my grandma because of @Jeopardy!”
“I like to go on a wilderness hike by myself.”
#Jeopardy https://t.co/owvX1RQI0x",True,2019.0,7.0,“My girlfriend calls me Grandpa.”,2,43200,journalist,VA
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 4-day cash winnings total $113,801)",42401,"J! Archive - Show #8037, aired 2019-07-16",Sam Kavanaugh,a teacher,"Minneapolis, Minnesota",J! Archive - Show #8037,2019-07-16,Minneapolis,Minnesota,answer3,1,16.0,0.0,"7/16/19:
""I follow the migration of San Francisco raptor birds.""
""I proposed to my wife via evite.""
""I collect haircuts from the cities I visit.""
#Jeopardy https://t.co/sW04F9duHb",True,2019.0,7.0,"""I collect haircuts from the cities I visit.""",6,154003,teacher,MN
Peter,"Peter Smith, a lawyer from Mar Vista, California",12800,"J! Archive - Show #8037, aired 2019-07-16",Peter Smith,a lawyer,"Mar Vista, California",J! Archive - Show #8037,2019-07-16,Mar Vista,California,answer2,2,16.0,0.0,"7/16/19:
""I follow the migration of San Francisco raptor birds.""
""I proposed to my wife via evite.""
""I collect haircuts from the cities I visit.""
#Jeopardy https://t.co/sW04F9duHb",True,2019.0,7.0,"""I proposed to my wife via evite.""",1,12800,lawyer,CA
JJ,"JJ Harris, a community volunteer from Petaluma, California",12801,"J! Archive - Show #8037, aired 2019-07-16",JJ Harris,a community volunteer,"Petaluma, California",J! Archive - Show #8037,2019-07-16,Petaluma,California,answer1,3,16.0,0.0,"7/16/19:
""I follow the migration of San Francisco raptor birds.""
""I proposed to my wife via evite.""
""I collect haircuts from the cities I visit.""
#Jeopardy https://t.co/sW04F9duHb",True,2019.0,7.0,"""I follow the migration of San Francisco raptor birds.""",1,12801,community volunteer,CA
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 3-day cash winnings total $75,601)",38200,"J! Archive - Show #8036, aired 2019-07-15",Sam Kavanaugh,a teacher,"Minneapolis, Minnesota",J! Archive - Show #8036,2019-07-15,Minneapolis,Minnesota,answer3,1,12.0,0.0,"7/15/19:
""I told @MelBrooks that he almost killed my grandma.""
""I use a fountain pen.""
""I almost missed the call to be on @Jeopardy! because I was in Australia.""
#Jeopardy https://t.co/h9sKGen8DZ",True,2019.0,7.0,"""I almost missed the call to be on @Jeopardy! because I was in Australia.""",6,154003,teacher,MN
Christina,"Christina Harcar, an audiobook seller from The Bronx, New York",13600,"J! Archive - Show #8036, aired 2019-07-15",Christina Harcar,an audiobook seller,"The Bronx, New York",J! Archive - Show #8036,2019-07-15,The Bronx,New York,answer2,2,12.0,0.0,"7/15/19:
""I told @MelBrooks that he almost killed my grandma.""
""I use a fountain pen.""
""I almost missed the call to be on @Jeopardy! because I was in Australia.""
#Jeopardy https://t.co/h9sKGen8DZ",True,2019.0,7.0,"""I use a fountain pen.""",1,13600,audiobook seller,NY
Jeff,"Jeff Lasky, a journalist from San Diego, California",1,"J! Archive - Show #8036, aired 2019-07-15",Jeff Lasky,a journalist,"San Diego, California",J! Archive - Show #8036,2019-07-15,San Diego,California,answer1,3,12.0,0.0,"7/15/19:
""I told @MelBrooks that he almost killed my grandma.""
""I use a fountain pen.""
""I almost missed the call to be on @Jeopardy! because I was in Australia.""
#Jeopardy https://t.co/h9sKGen8DZ",True,2019.0,7.0,"""I told @MelBrooks that he almost killed my grandma.""",1,1,journalist,CA
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 2-day cash winnings total $46,000)",29601,"J! Archive - Show #8035, aired 2019-07-12",Sam Kavanaugh,a teacher,"Minneapolis, Minnesota",J! Archive - Show #8035,2019-07-12,Minneapolis,Minnesota,answer3,1,10.0,3.0,"7/12/19:
""I enjoy wind-up toys.""
""I provide counsel for an alcohol company.""
""I dig the  Zombie Pub Crawl in Minneapolis.""
#Jeopardy https://t.co/lfIdpUDT8e",True,2019.0,7.0,"""I dig the  Zombie Pub Crawl in Minneapolis.""",6,154003,teacher,MN
Justin,"Justin Burden, an alcohol lawyer from West Hollywood, California",13300,"J! Archive - Show #8035, aired 2019-07-12",Justin Burden,an alcohol lawyer,"West Hollywood, California",J! Archive - Show #8035,2019-07-12,West Hollywood,California,answer2,2,10.0,3.0,"7/12/19:
""I enjoy wind-up toys.""
""I provide counsel for an alcohol company.""
""I dig the  Zombie Pub Crawl in Minneapolis.""
#Jeopardy https://t.co/lfIdpUDT8e",True,2019.0,7.0,"""I provide counsel for an alcohol company.""",1,13300,alcohol lawyer,CA
Heather,"Heather Ringman, an engineer from Houston, Texas",100,"J! Archive - Show #8035, aired 2019-07-12",Heather Ringman,an engineer,"Houston, Texas",J! Archive - Show #8035,2019-07-12,Houston,Texas,answer1,3,10.0,3.0,"7/12/19:
""I enjoy wind-up toys.""
""I provide counsel for an alcohol company.""
""I dig the  Zombie Pub Crawl in Minneapolis.""
#Jeopardy https://t.co/lfIdpUDT8e",True,2019.0,7.0,"""I enjoy wind-up toys.""",1,100,engineer,TX
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 1-day cash winnings total $38,001)",5800,"J! Archive - Show #8034, aired 2019-07-11",Sam Kavanaugh,a teacher,"Minneapolis, Minnesota",J! Archive - Show #8034,2019-07-11,Minneapolis,Minnesota,answer3,1,5.0,1.0,"7/11/19:
""I love @F1 racing.""
""I sang in a choir with an elephant.""
""I was at an incredibly cold football game.""
#Jeopardy https://t.co/qJhC0U1db9",True,2019.0,7.0,"""I was at an incredibly cold football game.""",6,154003,teacher,MN
Kirsten,"Kirsten Rose, a librarian from Williamstown, Massachusetts",0,"J! Archive - Show #8034, aired 2019-07-11",Kirsten Rose,a librarian,"Williamstown, Massachusetts",J! Archive - Show #8034,2019-07-11,Williamstown,Massachusetts,answer2,2,5.0,1.0,"7/11/19:
""I love @F1 racing.""
""I sang in a choir with an elephant.""
""I was at an incredibly cold football game.""
#Jeopardy https://t.co/qJhC0U1db9",True,2019.0,7.0,"""I sang in a choir with an elephant.""",1,0,librarian,MA
Steven,"Steven Green, a software engineer from Millbrae, California",11800,"J! Archive - Show #8034, aired 2019-07-11",Steven Green,a software engineer,"Millbrae, California",J! Archive - Show #8034,2019-07-11,Millbrae,California,answer1,3,5.0,1.0,"7/11/19:
""I love @F1 racing.""
""I sang in a choir with an elephant.""
""I was at an incredibly cold football game.""
#Jeopardy https://t.co/qJhC0U1db9",True,2019.0,7.0,"""I love @F1 racing.""",1,11800,software engineer,CA
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 4-day cash winnings total $107,049)",23300,"J! Archive - Show #8033, aired 2019-07-10",Ryan Bilger,a student,"Macungie, Pennsylvania",J! Archive - Show #8033,2019-07-10,Macungie,Pennsylvania,answer3,1,4.0,0.0,"7/10/19:
""I worked on constructing a military base in Saudi Arabia.""
""I grew up on a Minnesotan sheep farm.""
""I filled out a cemetery database for my Eagle Scout project.""
#Jeopardy https://t.co/GpWNAWYwXr",True,2019.0,7.0,"""I filled out a cemetery database for my Eagle Scout project.""",5,127149,student,PA
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota",38001,"J! Archive - Show #8033, aired 2019-07-10",Sam Kavanaugh,a teacher,"Minneapolis, Minnesota",J! Archive - Show #8033,2019-07-10,Minneapolis,Minnesota,answer2,2,4.0,0.0,"7/10/19:
""I worked on constructing a military base in Saudi Arabia.""
""I grew up on a Minnesotan sheep farm.""
""I filled out a cemetery database for my Eagle Scout project.""
#Jeopardy https://t.co/GpWNAWYwXr",True,2019.0,7.0,"""I grew up on a Minnesotan sheep farm.""",6,154003,teacher,MN
Margaret,"Margaret Hamilton, a retired air traffic controller from Sebring, Florida",6600,"J! Archive - Show #8033, aired 2019-07-10",Margaret Hamilton,a retired air traffic controller,"Sebring, Florida",J! Archive - Show #8033,2019-07-10,Sebring,Florida,answer1,3,4.0,0.0,"7/10/19:
""I worked on constructing a military base in Saudi Arabia.""
""I grew up on a Minnesotan sheep farm.""
""I filled out a cemetery database for my Eagle Scout project.""
#Jeopardy https://t.co/GpWNAWYwXr",True,2019.0,7.0,"""I worked on constructing a military base in Saudi Arabia.""",1,6600,retired air traffic controller,FL
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 3-day cash winnings total $96,650)",7199,"J! Archive - Show #8032, aired 2019-07-09",Ryan Bilger,a student,"Macungie, Pennsylvania",J! Archive - Show #8032,2019-07-09,Macungie,Pennsylvania,answer3,1,15.0,1.0,"7/9/19:
""I've been to a bunch of national parks.""
""I won a bronze medal at the World Fencing Championships.""
""For a decades party, I dressed like Lincoln in the 1860s.""
#Jeopardy https://t.co/iE3kjt6spx",True,2019.0,7.0,"""For a decades party, I dressed like Lincoln in the 1860s.""",5,127149,student,PA
Hannah,"Hannah Safford, an engineering Ph.D. student from Davis, California",11800,"J! Archive - Show #8032, aired 2019-07-09",Hannah Safford,an engineering Ph.D. student,"Davis, California",J! Archive - Show #8032,2019-07-09,Davis,California,answer2,2,15.0,1.0,"7/9/19:
""I've been to a bunch of national parks.""
""I won a bronze medal at the World Fencing Championships.""
""For a decades party, I dressed like Lincoln in the 1860s.""
#Jeopardy https://t.co/iE3kjt6spx",True,2019.0,7.0,"""I won a bronze medal at the World Fencing Championships.""",1,11800,engineering ph.d. student,CA
Kevin,"Kevin Paquette, a math teacher from Charlottesville, Virginia",10800,"J! Archive - Show #8032, aired 2019-07-09",Kevin Paquette,a math teacher,"Charlottesville, Virginia",J! Archive - Show #8032,2019-07-09,Charlottesville,Virginia,answer1,3,15.0,1.0,"7/9/19:
""I've been to a bunch of national parks.""
""I won a bronze medal at the World Fencing Championships.""
""For a decades party, I dressed like Lincoln in the 1860s.""
#Jeopardy https://t.co/iE3kjt6spx",True,2019.0,7.0,"""I've been to a bunch of national parks.""",1,10800,math teacher,VA
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 2-day cash winnings total $63,849)",32801,"J! Archive - Show #8031, aired 2019-07-08",Ryan Bilger,a student,"Macungie, Pennsylvania",J! Archive - Show #8031,2019-07-08,Macungie,Pennsylvania,answer3,1,15.0,1.0,"7/8/19:
""I've written kids' books about the history of Paris &amp; tap dancing.""
""My two-year-old son waves hello and goodbye to Alex.""
""I live in a possibly-haunted building in Gettysburg.""
#Jeopardy https://t.co/v0emZGHr0J",True,2019.0,7.0,"""I live in a possibly-haunted building in Gettysburg.""",5,127149,student,PA
Holly,"Holly Ahronheim, a stay-at-home mom from Royal Palm Beach, Florida",0,"J! Archive - Show #8031, aired 2019-07-08",Holly Ahronheim,a stay-at-home mom,"Royal Palm Beach, Florida",J! Archive - Show #8031,2019-07-08,Royal Palm Beach,Florida,answer2,2,15.0,1.0,"7/8/19:
""I've written kids' books about the history of Paris &amp; tap dancing.""
""My two-year-old son waves hello and goodbye to Alex.""
""I live in a possibly-haunted building in Gettysburg.""
#Jeopardy https://t.co/v0emZGHr0J",True,2019.0,7.0,"""My two-year-old son waves hello and goodbye to Alex.""",1,0,stay-at-home mom,FL
Sarah,"Sarah Hoban, a freelance writer and editor from Barrington, Illinois",32400,"J! Archive - Show #8031, aired 2019-07-08",Sarah Hoban,a freelance writer and editor,"Barrington, Illinois",J! Archive - Show #8031,2019-07-08,Barrington,Illinois,answer1,3,15.0,1.0,"7/8/19:
""I've written kids' books about the history of Paris &amp; tap dancing.""
""My two-year-old son waves hello and goodbye to Alex.""
""I live in a possibly-haunted building in Gettysburg.""
#Jeopardy https://t.co/v0emZGHr0J",True,2019.0,7.0,"""I've written kids' books about the history of Paris &amp; tap dancing.""",1,32400,freelance writer editor,IL
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 1-day cash winnings total $34,650)",29199,"J! Archive - Show #8030, aired 2019-07-05",Ryan Bilger,a student,"Macungie, Pennsylvania",J! Archive - Show #8030,2019-07-05,Macungie,Pennsylvania,answer3,1,13.0,2.0,"7/5/19:
""I love to hang out in Paris every year.""
""I've visited every Canadian province &amp; I love Newfoundland.""
""I want to visit every U.S. national park.""
#Jeopardy https://t.co/62P0CWRtza",True,2019.0,7.0,"""I want to visit every U.S. national park.""",5,127149,student,PA
Sally,"Sally Leedham, a legal assistant from Bradford, Ontario, Canada",21400,"J! Archive - Show #8030, aired 2019-07-05",Sally Leedham,a legal assistant,"Bradford, Ontario, Canada",J! Archive - Show #8030,2019-07-05,Bradford,Ontario,answer2,2,13.0,2.0,"7/5/19:
""I love to hang out in Paris every year.""
""I've visited every Canadian province &amp; I love Newfoundland.""
""I want to visit every U.S. national park.""
#Jeopardy https://t.co/62P0CWRtza",True,2019.0,7.0,"""I've visited every Canadian province &amp; I love Newfoundland.""",1,21400,legal assistant,
Jim,"Jim Royal, a writer from St. Louis, Missouri",1200,"J! Archive - Show #8030, aired 2019-07-05",Jim Royal,a writer,"St. Louis, Missouri",J! Archive - Show #8030,2019-07-05,St. Louis,Missouri,answer1,3,13.0,2.0,"7/5/19:
""I love to hang out in Paris every year.""
""I've visited every Canadian province &amp; I love Newfoundland.""
""I want to visit every U.S. national park.""
#Jeopardy https://t.co/62P0CWRtza",True,2019.0,7.0,"""I love to hang out in Paris every year.""",1,1200,writer,MO
Charlie,"Charlie Jorgenson, a librarian from Loveland, Colorado (whose 2-day cash winnings total $56,800)",24801,"J! Archive - Show #8029, aired 2019-07-04",Charlie Jorgenson,a librarian,"Loveland, Colorado",J! Archive - Show #8029,2019-07-04,Loveland,Colorado,answer3,1,12.0,0.0,"7/4/19:
""I fired a cannon at Antietam, before misfiring twice.""
""When I told my four-year-old I was going on @Jeopardy!, she told me I might lose.""
""My first date with my wife was watching The Exorcist.""
#Jeopardy #Happy4th https://t.co/IV8X4zG7GV",True,2019.0,7.0,"""My first date with my wife was watching The Exorcist.""",3,63001,librarian,CO
Wendy,"Wendy Foster, a social worker from Portland, Oregon",24800,"J! Archive - Show #8029, aired 2019-07-04",Wendy Foster,a social worker,"Portland, Oregon",J! Archive - Show #8029,2019-07-04,Portland,Oregon,answer2,2,12.0,0.0,"7/4/19:
""I fired a cannon at Antietam, before misfiring twice.""
""When I told my four-year-old I was going on @Jeopardy!, she told me I might lose.""
""My first date with my wife was watching The Exorcist.""
#Jeopardy #Happy4th https://t.co/IV8X4zG7GV",True,2019.0,7.0,"""When I told my four-year-old I was going on @Jeopardy!, she told me I might lose.""",1,24800,social worker,OR
